Country,Year,Emissions (CH4)_Agrifood Systems Waste Disposal,Emissions (CO2)_Agrifood Systems Waste Disposal,Emissions (N2O)_Agrifood Systems Waste Disposal,Emissions (CH4)_Burning - Crop residues,Emissions (N2O)_Burning - Crop residues,Emissions (N2O)_Crop Residues,Emissions (CO2)_Drained organic soils (CO2),Emissions (N2O)_Drained organic soils (N2O),Emissions (CH4)_Energy,Emissions (CO2)_Energy,Emissions (N2O)_Energy,Emissions (CH4)_Enteric Fermentation,Emissions (CH4)_Fires in humid tropical forests,Emissions (N2O)_Fires in humid tropical forests,Emissions (CH4)_Fires in organic soils,Emissions (CO2)_Fires in organic soils,Emissions (CH4)_Food Household Consumption,Emissions (CO2)_Food Household Consumption,Emissions (N2O)_Food Household Consumption,Emissions (CH4)_Food Packaging,Emissions (CO2)_Food Packaging,Emissions (N2O)_Food Packaging,Emissions (CH4)_Food Processing,Emissions (CO2)_Food Processing,Emissions (N2O)_Food Processing,Emissions (CH4)_Food Retail,Emissions (CO2)_Food Retail,Emissions (N2O)_Food Retail,Emissions (CH4)_Food Transport,Emissions (CO2)_Food Transport,Emissions (N2O)_Food Transport,Emissions (CH4)_Forest fires,Emissions (N2O)_Forest fires,Emissions (CO2)_Forestland,Emissions (CH4)_IPPU,Emissions (CO2)_IPPU,Emissions (N2O)_IPPU,Emissions (CH4)_Manure Management,Emissions (N2O)_Manure Management,Emissions (N2O)_Manure applied to Soils,Emissions (N2O)_Manure left on Pasture,Emissions (CO2)_Net Forest conversion,Emissions (CH4)_On-farm energy use,Emissions (CO2)_On-farm energy use,Emissions (N2O)_On-farm energy use,Emissions (CH4)_Pesticides Manufacturing,Emissions (CO2)_Pesticides Manufacturing,Emissions (N2O)_Pesticides Manufacturing,Emissions (CH4)_Rice Cultivation,Emissions (CH4)_Savanna fires,Emissions (N2O)_Savanna fires,Emissions (N2O)_Synthetic Fertilizers,Emissions (CH4)_Waste,Emissions (CO2)_Waste,Emissions (N2O)_Waste,Rice Production(Tonne),Temperature Index,Surface Temperature
Afghanistan,1991,28.7648,0.0,0.3599,2.7606,0.0716,0.7906,0.0,0.0,9.701,2387.7187,0.0754,187.55,0.0,0.0,0.0,0.0,0.0057,80.2767,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,4.3355,0.0,0.014,59.4148,0.0053,0.0013,0.0001,-2388.803,0.0,215.8935,0.0039,9.3445,0.3044,1.0137,6.2537,0.0,0.0003,11.388,0.0001,0.0,0.0,0.0,24.22,0.2639,0.0241,0.8912,62.7,3.15,0.368,335000.0,-0.051,0
Afghanistan,1992,29.9255,0.0,0.3595,2.5314,0.0656,0.7416,0.0,0.0,8.024,1337.9313,0.0512,189.76,0.0,0.0,0.0,0.0,0.0058,80.5557,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.6622,0.0,0.0112,51.8284,0.0044,0.0013,0.0001,-2388.803,0.0,221.0668,0.0042,9.6669,0.296,0.9992,6.2396,0.0,0.0002,9.2501,0.0001,0.0,0.0,0.0,24.5,0.2639,0.0241,0.81,67.4,3.28,0.383,300000.0,-0.212,0
Afghanistan,1993,31.3371,0.0,0.3956,3.0714,0.0796,0.871,0.0,0.0,7.9143,1290.0904,0.0514,190.83,0.0,0.0,0.0,0.0,0.0061,84.8438,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.6932,0.0,0.011,52.874,0.0044,0.0013,0.0001,-2388.803,0.0,200.2142,0.0045,9.8348,0.2903,0.9876,6.1999,0.0,0.0002,9.0394,0.0001,0.0,0.0,0.0,24.5,0.2639,0.0241,0.8329,72.6,3.42,0.412,300000.0,0.254,1
Afghanistan,1994,32.7076,0.0,0.409,3.2408,0.084,0.9134,0.0,0.0,8.4394,1235.0813,0.0515,197.921,0.0,0.0,0.0,0.0,0.0065,88.5717,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.5379,0.0,0.0107,52.5303,0.0044,0.0013,0.0001,-2388.803,0.0,181.445,0.0049,10.3563,0.2932,1.0099,6.3749,0.0,0.0002,8.3738,0.0001,0.0,0.0,0.0,25.2,0.2639,0.0241,0.1093,77.8,3.56,0.433,342000.0,0.546,1
Afghanistan,1995,33.803,0.0,0.4172,3.2016,0.083,0.9201,0.0,0.0,10.0282,1187.4189,0.0653,211.1555,0.0,0.0,0.0,0.0,0.0066,89.9235,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.2465,0.0,0.0105,53.1938,0.0044,0.0013,0.0001,-2388.803,0.0,172.7109,0.0052,11.4072,0.2949,1.0386,6.7144,0.0,0.0002,7.7502,0.0001,0.0,0.0,0.0,23.8,0.2639,0.0241,0.10826,82.2,3.7,0.466,390000.0,0.457,1
Afghanistan,1996,34.8632,0.0,0.4444,3.0714,0.0796,0.9398,0.0,0.0,11.1506,1121.3998,0.0723,239.7213,0.0,0.0,0.0,0.0,0.0069,93.542,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,2.8086,0.0,0.01,51.777,0.0042,0.0047,0.0003,-2388.803,0.0,164.0302,0.0054,13.5243,0.3265,1.1703,7.172,0.0,0.0002,7.2016,0.0001,0.0,0.0,0.0,24.5,0.7459,0.0681,0.1041,85.7,3.79,0.496,340000.0,-0.093,0
Afghanistan,1997,35.3527,0.0,0.4715,3.1047,0.0805,1.0426,0.0,0.0,11.6637,1037.049,0.0754,264.6095,0.0,0.0,0.0,0.0,0.0071,93.7209,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,2.1097,0.0,0.0094,50.7107,0.004,0.0028,0.0002,-2388.803,0.0,163.5386,0.0055,14.9067,0.3555,1.279,7.9647,0.0,0.0002,7.4189,0.0001,0.0,0.0,0.0,25.2,0.5927,0.0541,0.1041,88.4,3.89,0.519,400000.0,0.46,1
Afghanistan,1998,35.7056,0.0,0.4862,3.1717,0.0822,1.0847,0.0,0.0,12.2175,982.0422,0.0764,283.4502,0.0,0.0,0.0,0.0,0.0072,95.0086,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8007,0.0,0.009,51.3998,0.004,0.0076,0.0004,-2388.803,0.0,162.5175,0.0057,15.727,0.3823,1.3682,8.6996,0.0,0.0001,6.493,0.0001,0.0,0.0,0.0,25.2,1.2289,0.1122,0.1249,90.9,3.98,0.514,450000.0,0.664,1
Afghanistan,1999,36.0252,0.0,0.4833,2.8326,0.0734,0.934,0.0,0.0,12.7798,765.7029,0.079,318.3395,0.0,0.0,0.0,0.0,0.0075,98.7263,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7904,0.0,0.0026,35.1596,0.002,0.0021,0.0001,-2388.803,0.0,161.931,0.0058,17.8642,0.4184,1.5115,9.6403,0.0,0.0002,5.5259,0.0,0.0,0.0,0.0,19.6,0.8845,0.0808,0.1041,93.6,3.91,0.509,280000.0,1.271,1
Afghanistan,2000,36.4322,0.0,0.4685,2.6471,0.0686,0.637,0.0,0.0,13.6987,751.0347,0.0789,272.14,0.0,0.0,0.0,0.0,0.0079,103.1447,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.9318,0.0,0.0033,37.868,0.0022,0.0167,0.0009,-2388.803,0.0,162.6857,0.0061,15.0621,0.3613,1.2958,8.4794,0.0,0.0001,4.8359,0.0,0.0,0.0,0.0,18.2,0.4365,0.0398,0.1041,96.9,4.19,0.521,260000.0,1.064,1
